OSC2011,HU001,year,id,v5,v6,v7,v8,v9,v10,v11,family,v15,v14,Nfamily,v16,v17,v18,v19,v20,house,v22,v23,v24,v25,age,v27,v28,v29,v30,v31,Income,v33,v34,v35,v36,v37,v38,consumme,shokuryou,juukyo,kounetu,kagu,hihuku,hoken,koutsu,kyouiku,goraku,other,v50,v51,v52,v53,v54,v55
OSC02011,00000HU001,2004,1,1,1,1,1,0,0,3,1,1,1,5,2,1,2,4,2,1,1,1930,99999,1,7,1,1,5,1,10320.9488,657.2,951680.2612,514804.9646,372222.0719,64653.22472,951680.2612,394026.6099,324371.2781,96027.78163,15953.57913,23870.31799,11345.20408,10471.03658,11612.52696,33838.52288,34544.88177,18046.88156,68660.54553,69655.33183,466285.9703,91367.68098,2395.47367,1231.9,875.8
OSC02011,00000HU001,2004,2,1,1,1,1,0,0,3,1,1,1,4,1,1,2,3,2,2,99999,99999,1999,1,7,1,1,5,1,6003.0377,584.7,718474.2585,383700.3991,230521.1651,104252.6944,718474.2585,296363.5807,250626.0219,62739.8408,16057.26266,17201.77299,8056.72487,8155.52815,7711.09015,32580.97954,20403.16526,31763.64356,45956.01393,45737.55874,297979.0637,124131.6142,2932.70811,393,1093.5
OSC02011,00000HU001,2004,3,0,1,1,1,0,0,2,1,3,0,2,0,5,1,12,1,1,1,1979,99999,1,14,3,99999,99999,5,4444.6656,334.5,509990.1387,190969.0208,250950.751,68070.36678,509990.1387,237738.3617,219696.7863,60362.87639,15038.22222,18355.75744,6090.26936,8040.17954,10997.80856,25216.96817,0,24738.28984,50856.41475,18041.57539,209761.1138,62490.66315,4851.69938,3113.5,0.2
OSC02011,00000HU001,2004,4,0,1,1,1,0,0,2,1,3,1,2,0,7,1,5,1,1,1,1973,99999,1,14,3,99999,99999,5,5075.9009,186.1,115142.0283,26781.19685,64879.47339,23481.35809,115142.0283,92217.68875,87965.08557,32414.05393,11462.46423,10016.38058,3043.77335,1443.97597,2743.5315,8410.45247,658.38509,6184.79818,11587.27029,4252.60318,9086.24303,13838.09655,4056.72942,568.6,4
OSC02011,00000HU001,2004,5,1,1,1,1,0,0,3,1,2,1,3,3,1,1,8,1,1,1,1971,99999,1,13,1,2,1,4,6684.7287,736.8,0,0,0,0,472839.6036,435464.9145,435464.9145,90420.32433,29202.61197,23215.60279,9138.77236,21711.02506,11622.10568,43224.66218,5456.75538,55903.96485,145569.0899,0,37374.68915,0,7704.14479,1709.8,177
OSC02011,00000HU001,2004,6,1,1,1,1,0,0,3,1,2,1,5,5,1,1,16,1,1,1,1936,99999,1,11,1,2,1,4,5848.7579,631.2,0,0,0,0,195716.6898,185224.162,185224.162,67491.77416,2311.68871,27745.5507,4479.37386,7270.0052,7731.55365,24386.36927,10384.34903,15942.38438,17481.11299,0,10492.52788,0,3329.69922,535.8,627.1
OSC02011,00000HU001,2004,7,1,1,1,1,0,0,3,1,3,0,2,1,5,1,2,2,2,99999,99999,99999,1,15,3,99999,99999,5,5500.8239,419.2,750184.074,219226.6454,438461.8131,92495.61549,750184.074,308458.363,269535.3866,61168.34493,20837.23448,19802.76618,8431.67947,14146.81215,14554.34047,25779.28863,0,23168.84667,81646.07363,38922.97637,339773.9285,101951.7825,12051.86501,1423,137.3
OSC02011,00000HU001,2004,8,1,1,1,1,0,0,3,1,1,1,3,1,1,1,12,1,1,1,1934,99999,1,8,1,1,5,1,7802.8881,1122,1590013.531,840031.0091,632900.376,117082.1463,1590013.531,643487.6832,486093.8283,72765.40454,12953.07435,17615.91949,21601.33265,17565.05701,20159.77578,62058.57447,42439.2125,45112.15547,173823.3221,157393.8549,800816.7948,145709.0535,7455.93646,1459.7,1189
OSC02011,00000HU001,2004,9,1,1,1,1,0,0,3,1,3,1,2,0,4,2,19,1,1,1,1964,99999,1,16,3,99999,99999,5,6566.9682,492.6,428996.6369,154765.3047,223246.7595,50984.57268,428996.6369,184732.5323,168052.4834,47580.80676,12912.7306,16687.62316,5670.69945,4282.49843,9890.44411,16476.26327,0,15586.66462,38964.75298,16680.04889,192596.8784,51667.22622,7209.8597,2072.5,113.1
OSC02011,00000HU001,2004,10,1,1,1,1,0,0,3,1,1,0,4,2,1,1,11,1,1,1,1926,99999,1,10,1,1,2,2,4907.3148,1017.5,1369417.685,734065.7652,563124.1318,72227.78814,1369417.685,650594.7976,529783.8323,85580.50782,8231.13039,21885.01355,9308.00013,15834.00834,17369.24269,87320.51791,43834.63686,49370.09457,191050.6801,120810.9653,646558.2574,72264.63019,5101.20476,1732.8,682.5
OSC02011,00000HU001,2004,11,1,1,1,1,0,0,3,1,3,1,2,0,6,1,4,1,1,1,1984,99999,1,16,3,99999,99999,5,6130.7232,223.2,88421.02574,5001.6164,54257.48794,29161.9214,88421.02574,71387.73747,66034.7155,31896.3323,2924.34568,11505.40869,1699.8596,1196.13347,1982.57505,4268.75013,0,4339.59982,6221.71077,5353.02197,2210.42406,14822.8642,1839.50991,432.1,0
OSC02011,00000HU001,2004,12,1,1,1,1,0,0,3,1,2,0,4,2,1,1,14,1,1,1,1937,99999,1,10,1,1,2,4,3877.921,981.3,0,0,0,0,323135.244,256845.2904,256845.2904,80432.59042,1308.08394,24942.114,7045.52869,10329.14885,8139.73745,31651.84855,14093.31337,32801.0715,46101.85368,0,66289.9536,0,7093.35979,777.2,984.4
OSC02011,00000HU001,2004,13,1,1,1,1,0,0,3,1,1,0,4,1,1,2,6,2,2,99999,99999,1999,1,7,1,1,3,2,4109.2455,542.8,760007.5948,395192.2813,293158.7349,71656.57861,760007.5948,323229.8871,274871.1594,63841.93948,20099.13366,20702.11506,14586.50357,11122.9082,9961.2522,34993.9983,10090.69038,44153.44751,45319.17101,48358.72773,367538.6598,69239.04789,5311.3918,660.6,361.4
OSC02011,00000HU001,2004,14,1,1,1,1,0,0,3,1,1,1,2,2,7,1,6,1,1,1,1986,99999,1,12,1,1,3,2,8448.0598,651.5,712906.9854,404644.6476,223044.7642,85217.57364,712906.9854,291269.4087,229912.1997,53379.332,26987.98333,12068.60009,4120.86477,7259.5988,9237.62212,28963.51326,0,29565.61109,58329.0742,61357.20899,336987.5926,84649.98417,3737.34375,1373.4,617.8
OSC02011,00000HU001,2004,15,1,1,1,1,0,0,3,1,3,1,3,0,1,1,13,1,1,1,1982,99999,1,13,3,99999,99999,5,8393.413,649.8,632948.7547,242775.0291,301764.6931,88409.03262,632948.7547,301501.5366,272929.0678,90786.80757,15931.86075,24749.84161,11119.30157,13893.99745,5855.75746,27585.30227,6244.40179,20825.03779,55936.75952,28572.46885,249461.4737,81985.74438,12219.53137,2337,264.5
OSC02011,00000HU001,2004,16,1,1,1,1,0,0,3,1,1,0,5,2,1,1,6,1,1,1,1929,99999,1,8,1,3,99999,3,4961.0761,962.5,1300891.049,657270.9749,553726.2551,89893.81931,1300891.049,501368.8411,404664.868,85321.80832,2201.63124,21123.61205,22554.40977,18099.75905,7179.82432,49807.12858,31397.57347,37433.14234,129545.9789,96703.97302,710731.6559,88790.55233,9337.18776,1473.2,925.8
OSC02011,00000HU001,2004,17,1,1,1,1,0,0,3,1,1,1,4,3,1,1,18,1,1,1,1940,99999,2,12,2,1,4,1,6775.8948,478.2,454533.2661,253161.0484,119693.9154,81678.3023,454533.2661,208011.7856,189641.0555,54035.65152,17201.56912,17597.01904,4539.43532,5089.95562,7827.45633,27841.9828,13683.73786,17179.70745,24644.54047,18370.73007,159616.3144,86905.16609,9702.79695,580.3,638.3
OSC02011,00000HU001,2004,18,1,1,1,1,0,0,3,1,2,1,3,2,1,1,7,1,1,3,1985,99999,1,13,1,2,2,4,12429.3588,940.8,0,0,0,0,370658.6192,337781.4627,337781.4627,90921.20935,13218.75339,23076.15136,22534.70456,23542.35105,10205.79723,35080.13878,4660.65598,40288.06717,74253.63384,0,32877.15652,0,8392.22544,1746.5,706.6
OSC02011,00000HU001,2004,19,0,1,1,1,0,0,2,1,3,1,2,0,6,1,7,1,1,1,1976,99999,1,11,3,99999,99999,5,9548.0917,300.9,153718.6921,27295.20635,107260.9764,19162.50938,153718.6921,114031.4579,107128.2012,40570.71375,6386.66667,16179.03635,1973.67724,2782.0596,3056.37181,7046.64064,622.76827,8796.01278,19714.2541,6903.25668,21018.49868,18668.73551,5648.26354,368.6,450
OSC02011,00000HU001,2004,20,1,1,1,1,0,0,3,1,1,1,4,1,1,1,7,1,1,1,1936,99999,1,9,1,3,99999,3,7311.9963,662.5,839965.3627,467597.7145,298484.8199,73882.82828,839965.3627,292327.6278,237453.3447,58148.56884,12903.672,20296.77726,9838.31466,14255.8452,11362.1995,24619.15459,19936.9079,29375.53443,36716.37034,54874.28302,442537.4222,105100.3128,5144.87712,1101.3,1021.1
OSC02011,00000HU001,2004,21,1,1,1,1,0,0,3,1,1,0,3,1,7,1,9,1,2,99999,99999,1990,1,10,1,1,5,1,4444.6656,549.6,658613.2583,381911.0235,233845.2053,42857.02947,658613.2583,275074.5521,214867.7841,49820.11228,17552.95638,17314.07065,9694.61902,9597.06714,7922.05585,36813.05572,4978.38978,13974.95284,47200.50447,60206.76795,328567.486,54971.22017,6786.59552,762.5,626.9
OSC02011,00000HU001,2004,22,1,1,1,1,0,0,3,1,1,0,6,3,1,1,19,1,1,1,1938,99999,1,8,1,1,5,1,4857.0825,928.4,1215314.055,647623.9405,499478.5556,68211.55873,1215314.055,503388.9593,406017.4648,109720.6281,6000.58045,23519.38874,17632.48055,15637.74726,18730.64515,42510.39461,35575.34024,47255.03925,89435.22037,97371.49457,654363.6282,57561.46737,13047.76896,1434.2,631.5
OSC02011,00000HU001,2004,23,1,1,1,1,0,0,3,1,1,0,7,2,1,1,7,1,1,1,1928,99999,1,10,1,1,2,1,4826.4547,739.3,872374.8933,459089.1778,318957.1253,94328.5903,872374.8933,358602.7318,297977.6869,92619.16647,1722.49744,27688.38218,7559.18862,15104.77859,4486.19397,44975.52749,25403.66417,28427.54509,49990.74289,60625.0449,394730.5943,119041.5672,3834.42245,768.8,504.2
OSC02011,00000HU001,2004,24,1,1,1,1,0,0,3,1,3,1,2,0,5,1,15,1,1,1,1935,99999,1,14,3,99999,99999,5,6812.4141,368.2,614201.8035,182686.3984,377115.8754,54399.52963,614201.8035,306429.7566,284929.6196,80119.71347,7245.54323,16816.84945,10811.19559,8898.59076,12756.78683,31528.67385,0,43376.2781,73375.98832,21500.137,253225.106,54546.94093,5151.84073,1947.6,52.4
OSC02011,00000HU001,2004,25,1,1,1,1,0,0,3,1,1,0,4,2,1,1,11,1,1,1,1932,99999,1,9,1,1,3,2,4675.9902,1127.2,1326638.4,705951.3808,457931.7888,162755.2303,1326638.4,585535.254,473324.5922,88903.04212,49740.17196,22398.89017,15827.89894,27502.51238,13969.34649,39908.03642,27468.58797,32808.34695,154797.7588,112210.6619,608106.8505,132996.2954,4352.85489,1878.1,590.8
OSC02011,00000HU001,2004,26,1,1,1,1,0,0,3,1,1,0,5,2,1,2,8,1,1,2,1933,99999,2,10,1,3,99999,3,5813.0086,723.4,658449.6004,398160.9859,194297.6101,65991.00441,658449.6004,303617.4132,261995.1463,73873.41015,270.68867,23724.89713,5087.85828,9719.79201,6909.29388,37441.45347,34369.2213,14805.44049,55793.09096,41622.26689,290100.3047,64731.88253,10272.84513,906,817.7
OSC02011,00000HU001,2004,27,1,1,1,1,0,0,3,1,3,0,3,1,1,1,18,1,1,1,1939,99999,1,13,3,99999,99999,5,4363.8056,410.8,724297.7019,244291.4526,397378.9683,82627.28102,724297.7019,343575.7639,315641.1127,86934.18424,20465.19331,23802.31158,18836.29865,13134.86868,16833.30833,26917.89827,6337.78866,37277.70627,65101.55472,27934.65118,292357.8453,88364.09271,7983.30278,2464.1,5
